"Time","Vd","Vd"
26.96484375,1.8296277068455,5.38527707167335
27.015625,1.82962770684549,5.38918049764223
27.06640625,1.8296277068455,5.39307970842379
27.1171875,1.82962770684549,5.39697470856987
27.16796875,1.8296277068455,5.40086550262738
27.21875,1.82962770684549,5.40475209513837
27.26953125,1.8296277068455,5.40863449063996
27.3203125,1.82962770684549,5.41251269366436
27.37109375,1.8296277068455,5.41638670873889
27.421875,1.82962770684549,5.420256540386
27.47265625,1.8296277068455,5.42412219312322
27.5234375,1.82962770684549,5.42798367146324
27.57421875,1.8296277068455,5.43184097991386
27.625,1.82962770684549,5.43569412297802
27.67578125,1.8296277068455,5.43954310515377
27.7265625,1.82962770684549,5.44338793093434
27.77734375,1.8296277068455,5.44722860480809
27.828125,1.82962770684549,5.45106513125851
27.87890625,1.8296277068455,5.45489751476431
27.9296875,1.82962770684549,5.4587257597993
27.98046875,1.8296277068455,5.46254987083249
28.03125,1.82962770684549,5.46636985232806
28.08203125,1.8296277068455,5.47018570874537
28.1328125,1.82962770684549,5.47399744453896
28.18359375,1.8296277068455,5.47780506415857
28.234375,1.82962770684549,5.48160857204912
28.28515625,1.8296277068455,5.48540797265074
28.3359375,1.82962770684549,5.48920327039876
28.38671875,1.8296277068455,5.49299446972372
28.4375,1.82962770684549,5.49678157505139
28.48828125,1.8296277068455,5.50056459080274
28.5390625,1.82962770684549,5.50434352139398
28.58984375,1.8296277068455,5.50811837123654
28.640625,1.82962770684549,5.51188914473709
28.69140625,1.8296277068455,5.51565584629755
28.7421875,1.82962770684549,5.51941848031509
28.79296875,1.8296277068455,5.52317705118211
28.84375,1.82962770684549,5.52693156328628
28.89453125,1.8296277068455,5.53068202101053
28.9453125,1.82962770684549,5.53442842873306
28.99609375,1.8296277068455,5.53817079082734
29.046875,1.82962770684549,5.54190911166213
29.09765625,1.8296277068455,5.54564339560144
29.1484375,1.82962770684549,5.54937364700459
29.19921875,1.8296277068455,5.55309987022621
29.25,1.82962770684549,5.55682206961617
29.30078125,1.8296277068455,5.56054024951971
29.3515625,1.82962770684549,5.56425441427733
29.40234375,1.8296277068455,5.56796456822487
