X,CH1,CH2,
Second,Volt,Volt,
-4.0000000e+00,-8.00000e-02,0.00000e+00,
-3.9599998e+00,0.00000e+00,8.00000e-02,
-3.9199998e+00,-8.00000e-02,0.00000e+00,
-3.8799999e+00,0.00000e+00,0.00000e+00,
-3.8399999e+00,0.00000e+00,0.00000e+00,
-3.8000000e+00,-1.60000e-01,8.00000e-02,
-3.7600000e+00,0.00000e+00,0.00000e+00,
-3.7200000e+00,-1.60000e-01,8.00000e-02,
-3.6799998e+00,0.00000e+00,-8.00000e-02,
-3.6399999e+00,-8.00000e-02,8.00000e-02,
-3.5999999e+00,0.00000e+00,0.00000e+00,
-3.5599999e+00,-8.00000e-02,8.00000e-02,
-3.5200000e+00,-8.00000e-02,8.00000e-02,
-3.4800000e+00,0.00000e+00,-8.00000e-02,
-3.4399998e+00,-8.00000e-02,8.00000e-02,
-3.3999999e+00,0.00000e+00,-8.00000e-02,
-3.3599999e+00,0.00000e+00,0.00000e+00,
-3.3199999e+00,-8.00000e-02,8.00000e-02,
-3.2800000e+00,-1.60000e-01,-8.00000e-02,
-3.2400000e+00,8.00000e-02,8.00000e-02,
-3.2000000e+00,-8.00000e-02,8.00000e-02,
-3.1599998e+00,0.00000e+00,-8.00000e-02,
-3.1199999e+00,-8.00000e-02,0.00000e+00,
-3.0799999e+00,0.00000e+00,0.00000e+00,
-3.0400000e+00,0.00000e+00,0.00000e+00,
-3.0000000e+00,-8.00000e-02,8.00000e-02,
-2.9600000e+00,-1.60000e-01,-8.00000e-02,
-2.9199998e+00,7.84000e+00,8.00000e-02,
-2.8799999e+00,7.84000e+00,8.00000e-02,
-2.8399999e+00,7.60000e+00,2.40000e-01,
-2.8000000e+00,7.60000e+00,2.40000e-01,
-2.7600000e+00,7.84000e+00,4.80000e-01,
-2.7200000e+00,7.60000e+00,4.00000e-01,
-2.6799998e+00,7.84000e+00,6.40000e-01,
-2.6399999e+00,7.84000e+00,5.60000e-01,
-2.5999999e+00,7.60000e+00,7.20000e-01,
-2.5599999e+00,7.84000e+00,7.20000e-01,
-2.5200000e+00,7.60000e+00,8.80000e-01,
-2.4800000e+00,7.60000e+00,8.00000e-01,
-2.4400001e+00,7.84000e+00,1.04000e+00,
-2.3999999e+00,7.84000e+00,9.60000e-01,
-2.3599999e+00,7.60000e+00,1.12000e+00,
-2.3199999e+00,7.84000e+00,1.12000e+00,
-2.2800000e+00,7.60000e+00,1.28000e+00,
-2.2400000e+00,7.60000e+00,1.28000e+00,
-2.2000000e+00,7.92000e+00,1.44000e+00,
-2.1599998e+00,7.84000e+00,1.36000e+00,
-2.1199999e+00,7.60000e+00,1.52000e+00,
-2.0799999e+00,7.84000e+00,1.52000e+00,
-2.0400000e+00,7.60000e+00,1.68000e+00,
-2.0000000e+00,7.84000e+00,1.68000e+00,
-1.9599999e+00,7.60000e+00,1.76000e+00,
-1.9200000e+00,7.84000e+00,1.76000e+00,
-1.8800000e+00,7.60000e+00,2.00000e+00,
-1.8399999e+00,7.84000e+00,1.84000e+00,
-1.8000000e+00,7.60000e+00,2.08000e+00,
-1.7600000e+00,7.60000e+00,2.08000e+00,
-1.7199999e+00,7.84000e+00,2.16000e+00,
-1.6799999e+00,7.60000e+00,2.16000e+00,
-1.6400000e+00,7.84000e+00,2.32000e+00,
-1.6000000e+00,7.60000e+00,2.24000e+00,
-1.5599999e+00,7.92000e+00,2.40000e+00,
-1.5200000e+00,7.84000e+00,2.40000e+00,
-1.4800000e+00,7.60000e+00,2.48000e+00,
-1.4399999e+00,7.60000e+00,2.48000e+00,
-1.4000000e+00,7.84000e+00,2.64000e+00,
-1.3600000e+00,7.60000e+00,2.56000e+00,
-1.3199999e+00,7.84000e+00,2.72000e+00,
-1.2800000e+00,7.76000e+00,2.72000e+00,
-1.2400000e+00,7.84000e+00,2.80000e+00,
-1.1999999e+00,7.60000e+00,2.80000e+00,
-1.1600000e+00,7.84000e+00,3.04000e+00,
-1.1200000e+00,7.60000e+00,3.04000e+00,
-1.0799999e+00,7.84000e+00,3.12000e+00,
-1.0400000e+00,7.84000e+00,3.12000e+00,
-1.0000000e+00,7.60000e+00,3.20000e+00,
-9.5999998e-01,7.84000e+00,3.12000e+00,
-9.1999996e-01,7.60000e+00,3.36000e+00,
-8.8000000e-01,7.84000e+00,3.28000e+00,
-8.3999997e-01,7.60000e+00,3.44000e+00,
-8.0000001e-01,7.76000e+00,3.44000e+00,
-7.5999999e-01,7.84000e+00,3.44000e+00,
-7.1999997e-01,7.84000e+00,3.44000e+00,
-6.8000001e-01,7.60000e+00,3.60000e+00,
-6.3999999e-01,7.60000e+00,3.60000e+00,
-5.9999996e-01,7.84000e+00,3.76000e+00,
-5.6000000e-01,7.84000e+00,3.68000e+00,
-5.1999998e-01,7.60000e+00,3.76000e+00,
-4.7999999e-01,7.84000e+00,3.76000e+00,
-4.4000000e-01,7.60000e+00,3.84000e+00,
-4.0000001e-01,7.60000e+00,3.84000e+00,
-3.5999998e-01,7.84000e+00,4.00000e+00,
-3.1999999e-01,7.84000e+00,3.92000e+00,
-2.8000000e-01,7.60000e+00,4.08000e+00,
-2.3999999e-01,7.60000e+00,4.08000e+00,
-2.0000000e-01,7.84000e+00,4.00000e+00,
-1.6000000e-01,7.84000e+00,4.08000e+00,
-1.2000000e-01,7.60000e+00,4.24000e+00,
-7.9999998e-02,7.84000e+00,4.16000e+00,
-3.9999999e-02,7.60000e+00,4.32000e+00,
0.0000000e+00,7.84000e+00,4.24000e+00,
3.9999999e-02,7.60000e+00,4.40000e+00,
7.9999998e-02,7.60000e+00,4.40000e+00,
1.2000000e-01,7.84000e+00,4.32000e+00,
1.6000000e-01,7.84000e+00,4.40000e+00,
2.0000000e-01,7.60000e+00,4.56000e+00,
2.3999999e-01,7.60000e+00,4.48000e+00,
2.8000000e-01,7.84000e+00,4.64000e+00,
3.1999999e-01,7.84000e+00,4.56000e+00,
3.5999998e-01,7.60000e+00,4.72000e+00,
4.0000001e-01,7.84000e+00,4.64000e+00,
4.4000000e-01,7.60000e+00,4.72000e+00,
4.7999999e-01,7.84000e+00,4.72000e+00,
5.1999998e-01,7.60000e+00,4.88000e+00,
5.6000000e-01,7.84000e+00,4.80000e+00,
5.9999996e-01,7.60000e+00,4.88000e+00,
6.3999999e-01,7.84000e+00,4.96000e+00,
6.8000001e-01,7.60000e+00,4.88000e+00,
7.1999997e-01,7.60000e+00,5.04000e+00,
7.5999999e-01,7.84000e+00,4.96000e+00,
8.0000001e-01,7.84000e+00,5.04000e+00,
8.3999997e-01,7.60000e+00,5.12000e+00,
8.8000000e-01,7.60000e+00,5.12000e+00,
9.1999996e-01,7.84000e+00,5.04000e+00,
9.5999998e-01,7.84000e+00,5.12000e+00,
1.0000000e+00,7.60000e+00,5.28000e+00,
1.0400000e+00,7.84000e+00,5.20000e+00,
1.0799999e+00,7.60000e+00,5.28000e+00,
1.1200000e+00,7.84000e+00,5.28000e+00,
1.1600000e+00,7.60000e+00,5.36000e+00,
1.1999999e+00,7.60000e+00,5.36000e+00,
1.2400000e+00,7.84000e+00,5.36000e+00,
1.2800000e+00,7.60000e+00,5.36000e+00,
1.3199999e+00,7.92000e+00,5.52000e+00,
1.3600000e+00,7.84000e+00,5.44000e+00,
1.4000000e+00,7.60000e+00,5.52000e+00,
1.4399999e+00,7.60000e+00,5.52000e+00,
1.4800000e+00,7.84000e+00,5.60000e+00,
1.5200000e+00,7.60000e+00,5.60000e+00,
1.5599999e+00,7.84000e+00,5.68000e+00,
1.6000000e+00,7.84000e+00,5.68000e+00,
1.6400000e+00,7.60000e+00,5.60000e+00,
1.6799999e+00,7.84000e+00,5.68000e+00,
1.7199999e+00,7.60000e+00,5.84000e+00,
1.7600000e+00,7.60000e+00,5.68000e+00,
1.8000000e+00,7.84000e+00,5.84000e+00,
1.8399999e+00,7.60000e+00,5.84000e+00,
1.8800000e+00,7.84000e+00,5.92000e+00,
1.9200000e+00,7.84000e+00,5.84000e+00,
1.9599999e+00,7.60000e+00,6.00000e+00,
2.0000000e+00,7.60000e+00,5.92000e+00,
2.0400000e+00,7.84000e+00,6.00000e+00,
2.0799999e+00,7.84000e+00,6.00000e+00,
2.1199999e+00,7.60000e+00,6.00000e+00,
2.1599998e+00,7.84000e+00,6.08000e+00,
2.2000000e+00,-8.00000e-02,3.92000e+00,
2.2400000e+00,0.00000e+00,3.28000e+00,
2.2800000e+00,-1.60000e-01,0.00000e+00,
2.3199999e+00,-8.00000e-02,0.00000e+00,
2.3599999e+00,0.00000e+00,0.00000e+00,
2.3999999e+00,0.00000e+00,-8.00000e-02,
2.4400001e+00,-8.00000e-02,8.00000e-02,
2.4800000e+00,-8.00000e-02,0.00000e+00,
2.5200000e+00,0.00000e+00,8.00000e-02,
2.5599999e+00,8.00000e-02,-8.00000e-02,
2.5999999e+00,-1.60000e-01,8.00000e-02,
2.6399999e+00,-8.00000e-02,0.00000e+00,
2.6799998e+00,8.00000e-02,-8.00000e-02,
2.7200000e+00,-1.60000e-01,-8.00000e-02,
2.7600000e+00,0.00000e+00,0.00000e+00,
2.8000000e+00,-8.00000e-02,-8.00000e-02,
2.8399999e+00,8.00000e-02,8.00000e-02,
2.8799999e+00,0.00000e+00,0.00000e+00,
2.9199998e+00,-8.00000e-02,8.00000e-02,
2.9600000e+00,-8.00000e-02,0.00000e+00,
3.0000000e+00,0.00000e+00,8.00000e-02,
3.0400000e+00,-8.00000e-02,8.00000e-02,
3.0799999e+00,0.00000e+00,-8.00000e-02,
3.1199999e+00,0.00000e+00,8.00000e-02,
3.1599998e+00,-8.00000e-02,-8.00000e-02,
3.2000000e+00,0.00000e+00,-8.00000e-02,
3.2400000e+00,-8.00000e-02,8.00000e-02,
3.2800000e+00,-8.00000e-02,0.00000e+00,
3.3199999e+00,0.00000e+00,8.00000e-02,
3.3599999e+00,-8.00000e-02,8.00000e-02,
3.3999999e+00,0.00000e+00,-8.00000e-02,
3.4399998e+00,0.00000e+00,0.00000e+00,
3.4800000e+00,-8.00000e-02,8.00000e-02,
3.5200000e+00,-8.00000e-02,0.00000e+00,
3.5599999e+00,8.00000e-02,-8.00000e-02,
3.5999999e+00,0.00000e+00,-8.00000e-02,
3.6399999e+00,-1.60000e-01,8.00000e-02,
3.6799998e+00,-8.00000e-02,0.00000e+00,
3.7200000e+00,8.00000e-02,8.00000e-02,
3.7600000e+00,-8.00000e-02,0.00000e+00,
3.8000000e+00,8.00000e-02,-8.00000e-02,
3.8399999e+00,-1.60000e-01,-8.00000e-02,
3.8799999e+00,8.00000e-02,8.00000e-02,
3.9199998e+00,-8.00000e-02,0.00000e+00,
3.9599998e+00,7.84000e+00,1.60000e-01,
4.0000000e+00,7.84000e+00,1.60000e-01,
4.0400000e+00,7.60000e+00,2.40000e-01,
4.0799999e+00,7.84000e+00,2.40000e-01,
4.1199999e+00,7.60000e+00,4.80000e-01,
4.1599998e+00,7.84000e+00,4.00000e-01,
4.1999998e+00,7.60000e+00,6.40000e-01,
4.2399998e+00,7.84000e+00,5.60000e-01,
4.2799997e+00,7.60000e+00,8.00000e-01,
4.3199997e+00,7.60000e+00,7.20000e-01,
4.3600001e+00,7.84000e+00,8.80000e-01,
4.4000001e+00,7.76000e+00,8.00000e-01,
4.4400001e+00,7.60000e+00,1.04000e+00,
4.4800000e+00,7.84000e+00,9.60000e-01,
4.5200000e+00,7.60000e+00,1.20000e+00,
4.5599999e+00,7.60000e+00,1.12000e+00,
4.5999999e+00,7.84000e+00,1.28000e+00,
4.6399999e+00,7.84000e+00,1.28000e+00,
4.6799998e+00,7.60000e+00,1.44000e+00,
4.7199998e+00,7.60000e+00,1.44000e+00,
4.7599998e+00,7.84000e+00,1.60000e+00,
4.7999997e+00,7.84000e+00,1.52000e+00,
4.8399997e+00,7.60000e+00,1.68000e+00,
4.8800001e+00,7.60000e+00,1.68000e+00,
4.9200001e+00,7.84000e+00,1.76000e+00,
4.9600000e+00,7.84000e+00,1.76000e+00,
5.0000000e+00,7.60000e+00,1.92000e+00,
5.0400000e+00,7.60000e+00,1.92000e+00,
5.0799999e+00,7.84000e+00,2.08000e+00,
5.1199999e+00,7.84000e+00,2.08000e+00,
5.1599998e+00,7.60000e+00,2.16000e+00,
5.1999998e+00,7.60000e+00,2.16000e+00,
5.2399998e+00,7.84000e+00,2.32000e+00,
5.2799997e+00,7.60000e+00,2.32000e+00,
5.3199997e+00,7.84000e+00,2.40000e+00,
5.3599997e+00,7.84000e+00,2.40000e+00,
5.4000001e+00,7.60000e+00,2.48000e+00,
5.4400001e+00,7.84000e+00,2.48000e+00,
5.4800000e+00,7.60000e+00,2.64000e+00,
5.5200000e+00,7.60000e+00,2.72000e+00,
5.5599999e+00,7.84000e+00,2.56000e+00,
5.5999999e+00,7.60000e+00,2.72000e+00,
5.6399999e+00,7.84000e+00,2.80000e+00,
5.6799998e+00,7.84000e+00,2.80000e+00,
5.7199998e+00,7.60000e+00,3.12000e+00,
5.7599998e+00,7.84000e+00,3.04000e+00,
5.7999997e+00,7.60000e+00,3.12000e+00,
5.8399997e+00,7.60000e+00,3.12000e+00,
5.8799996e+00,7.84000e+00,3.28000e+00,
5.9200001e+00,7.60000e+00,3.20000e+00,
5.9600000e+00,7.84000e+00,3.36000e+00,
6.0000000e+00,7.60000e+00,3.28000e+00,
6.0400000e+00,7.84000e+00,3.44000e+00,
6.0799999e+00,7.84000e+00,3.44000e+00,
6.1199999e+00,7.60000e+00,3.52000e+00,
6.1599998e+00,7.84000e+00,3.44000e+00,
6.1999998e+00,7.60000e+00,3.60000e+00,
6.2399998e+00,7.84000e+00,3.60000e+00,
6.2799997e+00,7.60000e+00,3.76000e+00,
6.3199997e+00,7.84000e+00,3.76000e+00,
6.3599997e+00,7.60000e+00,3.68000e+00,
6.4000001e+00,7.76000e+00,3.76000e+00,
6.4400001e+00,7.84000e+00,3.92000e+00,
6.4800000e+00,7.84000e+00,3.84000e+00,
6.5200000e+00,7.60000e+00,4.00000e+00,
6.5599999e+00,7.84000e+00,3.92000e+00,
6.5999999e+00,7.60000e+00,4.08000e+00,
6.6399999e+00,7.84000e+00,4.08000e+00,
6.6799998e+00,7.60000e+00,4.16000e+00,
6.7199998e+00,7.84000e+00,4.08000e+00,
6.7599998e+00,7.60000e+00,4.24000e+00,
6.7999997e+00,7.60000e+00,4.16000e+00,
6.8399997e+00,7.84000e+00,4.32000e+00,
6.8799996e+00,7.60000e+00,4.32000e+00,
6.9200001e+00,7.84000e+00,4.40000e+00,
6.9600000e+00,7.84000e+00,4.40000e+00,
7.0000000e+00,7.60000e+00,4.48000e+00,
7.0400000e+00,7.60000e+00,4.40000e+00,
7.0799999e+00,7.84000e+00,4.56000e+00,
7.1199999e+00,7.76000e+00,4.48000e+00,
7.1599998e+00,7.84000e+00,4.64000e+00,
7.1999998e+00,7.76000e+00,4.56000e+00,
7.2399998e+00,7.84000e+00,4.72000e+00,
7.2799997e+00,7.60000e+00,4.72000e+00,
7.3199997e+00,7.84000e+00,4.80000e+00,
7.3599997e+00,7.84000e+00,4.72000e+00,
7.3999996e+00,7.60000e+00,4.80000e+00,
7.4400001e+00,7.84000e+00,4.80000e+00,
7.4800000e+00,7.60000e+00,4.96000e+00,
7.5200000e+00,7.84000e+00,4.88000e+00,
7.5599999e+00,7.60000e+00,5.04000e+00,
7.5999999e+00,7.84000e+00,4.96000e+00,
7.6399999e+00,7.60000e+00,5.04000e+00,
7.6799998e+00,7.84000e+00,5.04000e+00,
7.7199998e+00,7.60000e+00,5.12000e+00,
7.7599998e+00,7.84000e+00,5.04000e+00,
7.7999997e+00,7.60000e+00,5.20000e+00,
7.8399997e+00,7.60000e+00,5.12000e+00,
7.8799996e+00,7.84000e+00,5.28000e+00,
7.9199996e+00,7.84000e+00,5.20000e+00,
7.9600000e+00,7.60000e+00,5.36000e+00,
8.0000000e+00,7.60000e+00,5.28000e+00,
8.0400000e+00,7.84000e+00,5.36000e+00,
8.0799999e+00,7.76000e+00,5.36000e+00,
8.1199999e+00,7.84000e+00,5.44000e+00,
8.1599998e+00,7.84000e+00,5.36000e+00,
8.1999998e+00,7.60000e+00,5.52000e+00,
8.2399998e+00,7.84000e+00,5.44000e+00,
8.2799997e+00,7.60000e+00,5.60000e+00,
8.3199997e+00,7.84000e+00,5.52000e+00,
8.3599997e+00,7.60000e+00,5.60000e+00,
8.3999996e+00,7.84000e+00,5.60000e+00,
8.4399996e+00,7.60000e+00,5.68000e+00,
8.4799995e+00,7.84000e+00,5.60000e+00,
8.5199995e+00,7.76000e+00,5.68000e+00,
8.5599995e+00,7.84000e+00,5.68000e+00,
8.5999994e+00,7.60000e+00,5.76000e+00,
8.6399994e+00,7.84000e+00,5.84000e+00,
8.6799994e+00,7.60000e+00,5.68000e+00,
8.7200003e+00,7.84000e+00,5.76000e+00,
